# Galluci, V., Taylor, I., King, J., McFarlane, G., and McPhie, R. 2011. Spiny Dogfish (Squalus acanthias) Assessment and Catch Recommendations for 2010. DFO Can. Sci. Advis. Sec. Res. Doc. 2011/034. xii + 69 p.
# Table 5. Annual discards (tonnes) of spiny dogfish in longline fisheries 2001-2006 by Statistical Area.
Year,4B,3CD,5AB,5CDE,Total,Unknown area,Total discards
2001,255,1,5, ,6,88,349
2002,218,19,3, ,22,52,291
2003,385,87,5,8,100,72,558
2004,199,13,5, ,19,75,293
2005,323,25,7, ,32,122,477
2006,94, , , , ,3,98
