"year","month","fleet","sex2","partition","N","F_25","F_30","F_35","F_40","F_45","F_50","F_55","F_60","F_65","F_70","F_75","F_80","F_85","F_90","F_95","F_100","F_105","F_110","F_115","M_25","M_30","M_35","M_40","M_45","M_50","M_55","M_60","M_65","M_70","M_75","M_80","M_85","M_90","M_95","M_100","M_105","M_110","M_115"
1966,1,1,3,0,150,0,0,0,0,0,0,0,0,0,0,0,1,7,16,42,36,22,5,2,0,0,0,0,0,0,0,0,0,1,1,10,5,2,0,0,0,0,0
1973,1,1,3,0,829,0,0,0,0,0,0,0,3,2,2,11,19,21,52,85,79,46,17,1,0,0,0,0,0,0,2,0,1,8,67,178,174,57,3,1,0,0,0
1974,1,1,3,0,477,0,0,0,0,0,0,0,0,0,4,9,28,39,72,54,26,4,0,2,0,0,0,0,0,0,0,0,0,3,37,82,86,27,4,0,0,0,0
1977,1,1,3,0,3333,0,0,0,0,0,0,0,0,1,7,40,159,386,671,695,602,319,122,25,0,0,0,0,0,0,0,0,0,6,27,105,125,38,5,0,0,0,0
1978,1,1,3,0,3591,0,0,0,0,0,0,0,0,1,11,31,136,362,601,665,598,326,113,29,0,0,0,0,0,0,0,0,0,1,26,184,328,157,22,0,0,0,0
1979,1,1,3,0,3264,0,0,0,0,0,0,0,4,14,47,62,88,156,296,525,582,390,154,38,0,0,0,0,0,0,0,1,10,37,78,279,337,148,18,0,0,0,0
1981,1,1,3,0,403,0,0,0,0,0,0,0,1,1,1,2,2,5,20,45,125,103,56,12,0,0,0,0,0,0,0,0,0,1,5,10,11,3,0,0,0,0,0
1988,1,1,3,0,353,0,0,0,0,0,0,0,0,0,0,0,1,3,32,52,112,96,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,1,1,3,0,60,0,0,0,0,0,0,0,0,0,0,6,11,9,1,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,11,7,2,1,0,0,0,0,0
1979,1,2,3,0,701,11,141,131,36,9,1,0,0,0,2,3,1,0,1,2,3,0,0,0,14,154,131,44,12,1,1,0,2,1,0,0,0,0,0,0,0,0,0
2003,1,2,3,0,50,0,0,0,0,0,0,0,0,0,2,3,2,2,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,6,15,7,1,0,0,0,0,0,0
2007,1,2,3,0,82,0,0,0,0,4,11,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,16,13,1,1,1,0,0,0,0,0,0,0,0
1977,1,3,3,0,3435,0,0,0,0,0,0,0,0,0,6,39,164,320,497,740,826,474,121,16,0,0,0,0,0,0,0,0,0,2,27,111,64,24,4,0,0,0,0
1978,1,3,3,0,10166,0,0,0,0,0,0,0,0,0,14,85,301,553,852,1400,1843,1305,485,93,0,0,0,0,0,0,0,0,1,25,300,1367,1169,325,42,4,0,2,0
1979,1,3,3,0,11420,0,0,0,0,0,0,0,11,37,109,281,566,704,893,1128,1202,880,324,61,0,0,0,0,0,0,0,6,12,180,877,2137,1616,357,38,1,0,0,0
1980,1,3,3,0,1621,0,0,0,0,0,0,0,2,8,38,47,49,78,152,239,299,223,74,20,0,0,0,0,0,0,0,0,1,24,86,150,120,9,2,0,0,0,0
1981,1,3,3,0,587,0,0,0,0,0,0,0,0,0,0,5,9,25,45,92,136,119,49,8,0,0,0,0,0,0,0,0,1,2,25,37,27,4,3,0,0,0,0
1982,1,3,3,0,317,0,0,0,0,0,0,0,0,0,0,0,17,34,50,63,74,40,9,1,0,0,0,0,0,0,0,0,0,0,2,7,15,4,1,0,0,0,0
1984,1,3,3,0,379,0,0,0,0,0,0,0,0,0,0,1,5,16,51,59,91,78,33,8,0,0,0,0,0,0,0,0,0,0,1,11,21,3,1,0,0,0,0
1995,1,3,3,0,489,0,0,0,0,0,0,0,0,7,21,23,18,13,6,5,8,5,0,1,0,0,0,0,0,0,1,2,5,25,126,141,64,15,3,0,0,0,0
2001,1,3,3,0,1353,0,0,0,0,0,0,0,0,3,51,127,92,91,88,62,68,37,11,3,0,0,0,0,0,0,0,0,2,52,263,266,100,32,3,2,0,0,0
2002,1,3,3,0,1569,0,0,0,0,0,0,0,1,2,68,151,119,98,115,79,37,14,5,2,0,0,0,0,0,0,0,0,0,99,334,307,110,26,2,0,0,0,0
2003,1,3,3,0,1181,0,0,0,0,0,0,0,0,1,46,145,120,110,101,91,64,18,9,1,0,0,0,0,0,0,0,0,0,36,197,144,74,22,2,0,0,0,0
2004,1,3,3,0,1020,0,0,0,0,0,0,0,0,0,39,89,76,77,112,96,61,29,8,1,0,0,0,0,0,0,0,0,3,102,209,89,24,5,0,0,0,0,0
